Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,4340.0,4350.0,4210.0,4250.0,3846.677490234375,138866500
2021-06-08,4280.0,4280.0,4190.0,4200.0,3801.42236328125,98987900
2021-06-09,4100.0,4270.0,4100.0,4220.0,3819.5244140625,97665400
2021-06-10,4280.0,4320.0,4260.0,4300.0,3891.9326171875,97257300
2021-06-11,4350.0,4350.0,4280.0,4280.0,3873.830810546875,52553100
2021-06-14,4330.0,4350.0,4280.0,4350.0,3937.1875,121237400
2021-06-15,4350.0,4350.0,4210.0,4230.0,3828.575439453125,182463800
2021-06-16,4150.0,4170.0,4010.0,4010.0,3629.453369140625,437267600
2021-06-17,3980.0,4070.0,3930.0,4030.0,3647.555419921875,305679700
2021-06-18,4060.0,4060.0,3910.0,3910.0,3538.943115234375,296000300
2021-06-21,3880.0,3970.0,3860.0,3940.0,3566.096435546875,145038200
2021-06-22,3940.0,4070.0,3920.0,4040.0,3656.6064453125,120755000
2021-06-23,4050.0,4070.0,3940.0,3940.0,3566.096435546875,162498800
2021-06-24,4000.0,4010.0,3960.0,3990.0,3611.351318359375,50382000
2021-06-25,4030.0,4040.0,3990.0,3990.0,3611.351318359375,75589800
2021-06-28,3980.0,3990.0,3930.0,3930.0,3557.04541015625,141231800
2021-06-29,3860.0,3910.0,3860.0,3900.0,3529.892333984375,121772800
2021-06-30,3900.0,3970.0,3890.0,3940.0,3566.096435546875,112847100
2021-07-01,3940.0,3970.0,3910.0,3940.0,3566.096435546875,95671900
2021-07-02,4000.0,4030.0,3970.0,3990.0,3611.351318359375,85301200
2021-07-05,3930.0,3960.0,3880.0,3900.0,3529.892333984375,84968300
2021-07-06,3950.0,3950.0,3890.0,3890.0,3520.84130859375,55317000
2021-07-07,3920.0,3940.0,3810.0,3820.0,3457.484375,148723800
2021-07-08,3890.0,3900.0,3820.0,3870.0,3502.739013671875,147587600
2021-07-09,3860.0,3870.0,3780.0,3800.0,3439.38232421875,127826500
2021-07-12,3800.0,3820.0,3750.0,3760.0,3403.17822265625,119727200
2021-07-13,3800.0,3800.0,3760.0,3780.0,3421.2802734375,159709500
2021-07-14,3780.0,3800.0,3700.0,3710.0,3357.92333984375,105184100
2021-07-15,3750.0,3840.0,3730.0,3810.0,3448.433349609375,127139100
2021-07-16,3850.0,3860.0,3810.0,3840.0,3475.58642578125,98486200
2021-07-19,3850.0,3850.0,3780.0,3780.0,3421.2802734375,63023000
2021-07-21,3850.0,3880.0,3810.0,3820.0,3457.484375,100915300
2021-07-22,3870.0,3910.0,3840.0,3900.0,3529.892333984375,85309600
2021-07-23,3940.0,3950.0,3830.0,3870.0,3502.739013671875,87235100
2021-07-26,3900.0,3900.0,3820.0,3830.0,3466.53515625,81996800
2021-07-27,3860.0,3860.0,3770.0,3800.0,3439.38232421875,90672700
2021-07-28,3800.0,3810.0,3720.0,3730.0,3376.025146484375,70705400
2021-07-29,3760.0,3840.0,3750.0,3770.0,3412.229248046875,93469200
2021-07-30,3830.0,3830.0,3710.0,3710.0,3357.92333984375,103301100
2021-08-02,3770.0,3770.0,3700.0,3740.0,3385.076171875,96187100
2021-08-03,3740.0,3780.0,3720.0,3750.0,3394.127197265625,79873600
2021-08-04,3790.0,3850.0,3770.0,3850.0,3484.637451171875,83496200
2021-08-05,3900.0,4090.0,3900.0,4050.0,3665.657470703125,267404100
2021-08-06,4050.0,4060.0,3900.0,3930.0,3557.04541015625,138594800
2021-08-09,3940.0,3950.0,3820.0,3850.0,3484.637451171875,93093100
2021-08-10,3890.0,3890.0,3810.0,3820.0,3457.484375,85771200
2021-08-12,3850.0,3850.0,3800.0,3810.0,3448.433349609375,85874900
2021-08-13,3820.0,3880.0,3820.0,3870.0,3502.739013671875,95298300
2021-08-16,3870.0,3930.0,3840.0,3930.0,3557.04541015625,63711200
2021-08-18,3990.0,4090.0,3930.0,4070.0,3683.759521484375,224861000
2021-08-19,4000.0,4020.0,3860.0,3880.0,3511.7900390625,198373600
2021-08-20,3880.0,3940.0,3830.0,3930.0,3557.04541015625,80299100
2021-08-23,3980.0,3990.0,3930.0,3960.0,3584.1982421875,61938800
2021-08-24,3950.0,3960.0,3830.0,3890.0,3520.84130859375,137163100
2021-08-25,3499.939453125,3545.393310546875,3499.939453125,3536.302490234375,3200.709716796875,86571495
2021-08-26,3536.302490234375,3545.393310546875,3490.848876953125,3518.12109375,3184.25341796875,69144334
2021-08-27,3536.302490234375,3536.302490234375,3481.758056640625,3490.848876953125,3159.5693359375,79498923
2021-08-30,3499.939453125,3581.75634765625,3490.848876953125,3581.75634765625,3241.849853515625,128539860
2021-08-31,3581.75634765625,3590.84716796875,3518.12109375,3572.66552734375,3233.62158203125,134879489
2021-09-01,3572.66552734375,3572.66552734375,3527.2119140625,3536.302490234375,3200.709716796875,97691477
2021-09-02,3509.0302734375,3536.302490234375,3490.848876953125,3518.12109375,3184.25341796875,81242343
2021-09-03,3499.939453125,3572.66552734375,3463.576416015625,3572.66552734375,3233.62158203125,165056860
2021-09-06,3590.84716796875,3618.119384765625,3499.939453125,3499.939453125,3167.79736328125,188929693
2021-09-07,3536.302490234375,3563.57470703125,3518.12109375,3554.484130859375,3217.16552734375,140380354
2021-09-08,3820.0,3880.0,3720.0,3730.0,3376.025146484375,228087900
2021-09-09,3700.0,3770.0,3650.0,3730.0,3376.025146484375,306319600
2021-09-10,3710.0,3790.0,3670.0,3780.0,3421.2802734375,177033000
2021-09-13,3710.0,3750.0,3660.0,3700.0,3348.872314453125,169825000
2021-09-14,3720.0,3730.0,3660.0,3700.0,3348.872314453125,216363400
2021-09-15,3670.0,3670.0,3620.0,3660.0,3312.668212890625,263544000
2021-09-16,3650.0,3660.0,3610.0,3640.0,3294.56591796875,194782800
2021-09-17,3630.0,3640.0,3570.0,3610.0,3267.4130859375,346529100
2021-09-20,3590.0,3590.0,3510.0,3590.0,3249.31103515625,357971300
